"BOOK_ID","ACCESSION_DATE","ACC_DATE_STAND","DISCARD_DATE","DISC_DATE_STAND","ACCESSION_NUMBER","DUP_ACC","AUTHOR","TITLE","PUBLISHER","WHERE_PUBLISHED","DATE_PUBLISHED","NUM_VOLS","SIZE","NUM_PAGES","BINDING_TYPE_ID","PROVENANCE","COST_DENOM_ID","COST_FULL","COST_US","COST_UK","ORIGIN_ID","ADDITIONAL_INFO","REVIEW_NOTES","LEDGER_NUM","LEDGER_PAGE_NUM","LAST_MODIFIED","BOOKS_OCLC_ID","DMR_LINK_CODE","DMR_DIRECT_CODE","OLD_DMR_DIRECT_CODE"
"1","Jan. 29, 1875","1875-01-29",,,"2","0","Pomeroy","Sense",,"New York","1869","1","12","273","1","Thomas Kirby",,,"0.00",,"1",,,"1","1","2010-05-25 09:18:11","1","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"2","Ap 1889","1889-04-01",,,"6528","0",,"Senate Miscl 1st Sess 49 Congress Addresses on the Acceptance",,"Washington D.C.","1885-6","6","6","90","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 08:49:33","2","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"3","1874","1874-01-01","June 1938","1938-06-01","1","0","Smaley, Julia C.","The young converts",,"Claremont, N.H.","1868","1","12","181","1","Lucy Trueworth",,,"0.00",,"1",,,"1","1","2010-05-25 09:17:14","3","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"4","Ap 1889","1889-04-01",,,"6529","0",,"House Exec 1st Sess 49 Congress Foreign Relations of U.S.",,"Washington D.C.","1885-6","1","8","950","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 08:51:33","4","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"5","Jan. 29 1875","1875-01-29",,,"3","0","Chase","Life line of the lone one",,"Boston Mass.","1857","1","12","310","1","Thomas Kirby",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:22:05","5","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"6","Jan. 29, 1875","1875-01-29","Dec. 1938","1938-12-01","4","0","Paschal Donaldson","The Odd-Fellows text-book",,"Philadelphia, Pa","1852","1","12","286","1","Thomas Kirby",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:23:17","6","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"7","Jan. 29, 1875","1875-01-29","Dec. 1938","1938-12-01","5","0","Ed","The Cincinnatus",,"Cincinnati ","1857","2","8","608","1","Thomas Kirby",,,"0.00",,"1","Began with Vol. 1, no. 1 (Jan. 1, 1856). Ceased in 1860? Monthly.","#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:25:21","7","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"8","Ap 1889","1889-04-01",,,"6530","0",,"House Exec 1st Sess 49 Congress Rept of Chief of Ordinance",,"Washington D.C.","1885-6","7","8","689","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 08:51:17","8","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"9","Ap 6 1889","1889-04-06",,,"6531","0",,"House Exec 1st Sess 49 Congress Rept of Chief Signal Officer",,"Washington D.C.","1885","8","8","1040","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 11:11:36","9","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"10","Ap 1889","1889-04-01",,,"6532","0",,"House Exec 1st Sess 49 Congress Rept of Sec of Navy",,"Washington D.C.","1886","9","8","900","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 08:55:12","10","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"11","Ap 1889","1889-04-01",,,"6533","0",,"House Exec 1st Sess 49 Congress Rept of P. M. General",,"Washington D.C.","1885","10","8","1014","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 08:56:37","11401","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"12","Jan. 29, 1875","1875-01-29","12/38","1938-12-01","6","0",,"The Cincinnatus",,"Cincinnati","1857",,,,"1",,,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:26:54","11","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
