"transaction_counts_id","book_id","times_out","is_indeterminate"
"1","4537","422","0"
"2","7901","373","0"
"3","8365","364","0"
"4","8915","358","0"
"5","4539","324","0"
"6","4542","297","0"
"7","2035","291","0"
"8","4533","286","0"
"9","4546","285","0"
"10","9353","284","0"
"11","8294","282","0"
"12","11048","282","0"
"13","5986","281","0"
"14","4414","274","0"
"15","8628","273","0"
"16","4575","270","0"
"17","4534","270","0"
"18","8981","265","0"
"19","4535","264","0"
"20","4380","259","0"
"21","7560","257","0"
"22","2782","253","1"
"23","2783","253","1"
"24","9262","247","0"
"25","4403","244","0"
"26","2053","242","0"
"27","4538","237","0"
"28","7364","237","0"
"29","4413","237","0"
"30","4416","236","0"
"31","4384","235","0"
"32","4348","232","0"
"33","8616","231","0"
"34","9213","229","0"
"35","1214","224","0"
"36","8640","221","0"
"37","4409","220","0"
"38","9615","218","0"
"39","8643","217","0"
"40","9271","217","0"
"41","8651","216","0"
"42","1112","214","0"
"43","9344","213","0"
"44","1024","212","1"
"45","1111","212","1"
"46","5686","211","0"
"47","7570","210","0"
"48","7665","210","0"
"49","8283","209","0"
"50","8178","209","0"
"51","9258","209","0"
"52","7275","207","0"
"53","4568","205","0"
"54","7571","205","0"
"55","7212","203","0"
"56","8279","202","0"
"57","8351","202","0"
"58","4554","201","0"
"59","7881","201","0"
"60","7278","201","0"
"61","1995","200","0"
"62","8639","199","0"
"63","4399","199","0"
"64","8288","199","0"
"65","4431","198","0"
"66","4393","195","0"
"67","11145","195","0"
"68","9584","193","0"
"69","2688","193","0"
"70","8645","190","0"
"71","5701","190","0"
"72","8278","188","0"
"73","2052","188","0"
"74","7345","187","0"
"75","2767","187","0"
"76","4425","186","0"
"77","7333","186","0"
"78","8301","186","0"
"79","6621","185","0"
"80","8299","184","0"
"81","10059","183","0"
"82","8656","183","0"
"83","926","182","0"
"84","9898","181","0"
"85","4346","180","0"
"86","8013","180","0"
"87","7807","180","0"
"88","8281","178","0"
"89","7535","178","0"
"90","4590","177","0"
"91","11160","177","0"
"92","8623","176","0"
"93","9025","176","0"
"94","8620","175","0"
"95","11154","175","0"
"96","4387","175","0"
"97","919","175","0"
"98","167","173","0"
"99","7188","173","0"
"100","4577","173","0"
"101","8287","173","0"
"102","8352","173","0"
"103","106","172","0"
"104","9896","172","0"
"105","4423","170","0"
"106","7884","169","0"
"107","91","169","0"
"108","9590","169","0"
"109","7536","169","0"
"110","1962","168","0"
"111","7806","168","0"
"112","7552","168","0"
"113","7826","167","0"
"114","7877","167","0"
"115","4558","167","0"
"116","7933","167","0"
"117","3272","167","0"
"118","9211","166","0"
"119","7334","166","0"
"120","5025","166","0"
